12000
(0, 10822)
(2, 7892)
(2, 8587)
(7, 11502)
(8, 6778)
(8, 11535)
(9, 9093)
(9, 10706)
(9, 6208)
(10, 10852)
(10, 7900)
(10, 8064)
(13, 9735)
(14, 9734)
(14, 7024)
(15, 11989)
(15, 6003)
(15, 9562)
(16, 9436)
(18, 10261)
(20, 7462)
(21, 9805)
(23, 11727)
(25, 7639)
(25, 10951)
(26, 10489)
(27, 9013)
(29, 9424)
(30, 10958)
(32, 10604)
(33, 11331)
(34, 10835)
(35, 11401)
(35, 7066)
(36, 11569)
(40, 10193)
(41, 6445)
(42, 7901)
(43, 10677)
(43, 9928)
(43, 10981)
(44, 11081)
(45, 9041)
(46, 11992)
(48, 10019)
(48, 8739)
(48, 9137)
(51, 8859)
(53, 6127)
(54, 10563)
(54, 10284)
(54, 8112)
(54, 8930)
(56, 10674)
(56, 8393)
(56, 7938)
(58, 11653)
(58, 8844)
(58, 6309)
(58, 8880)
(59, 10238)
(59, 9715)
(59, 10449)
(60, 10505)
(60, 8809)
(60, 9213)
(62, 8260)
(62, 8823)
(63, 11293)
(63, 9177)
(64, 9665)
(66, 6294)
(68, 6537)
(68, 11458)
(70, 11307)
(70, 11295)
(70, 10612)
(72, 7234)
(77, 6874)
(77, 6292)
(78, 8992)
(78, 10947)
(79, 11204)
(83, 9906)
(85, 11346)
(88, 11324)
(88, 8727)
(90, 7654)
(90, 6650)
(93, 9248)
(93, 7298)
(94, 11251)
(94, 7758)
(95, 7613)
(96, 6021)
(98, 8952)
(99, 7483)
(99, 7921)
(101, 10687)
(101, 7003)
(102, 10996)
(105, 9820)
(106, 10824)
(106, 10200)
(108, 6885)
(111, 6881)
(112, 8272)
(114, 10915)
(114, 7915)
(115, 9821)
(117, 11705)
(119, 10778)
(119, 9158)
(120, 11724)
(122, 10272)
(123, 11520)
(124, 11652)
(124, 10671)
(127, 9057)
(128, 9375)
(131, 6564)
(131, 11924)
(131, 8869)
(136, 11422)
(139, 7968)
(139, 10485)
(142, 7148)
(144, 8385)
(144, 11056)
(145, 6200)
(145, 6416)
(145, 6824)
(145, 7756)
(146, 8995)
(149, 6738)
(149, 10873)
(152, 8226)
(152, 7512)
(152, 6014)
(154, 8267)
(154, 7168)
(154, 6111)
(155, 6743)
(155, 7240)
(156, 6409)
(156, 6056)
(159, 8977)
(161, 8186)
(161, 7617)
(162, 6158)
(163, 8240)
(163, 9846)
(165, 7041)
(166, 7246)
(166, 7206)
(170, 8941)
(171, 7218)
(173, 10529)
(173, 8806)
(175, 6310)
(175, 6286)
(176, 8365)
(176, 11404)
(180, 11729)
(181, 9887)
(182, 9187)
(182, 7106)
(182, 6033)
(182, 9713)
(183, 9620)
(183, 10746)
(186, 10864)
(189, 6173)
(191, 8418)
(191, 9131)
(192, 11172)
(193, 11079)
(193, 8323)
(193, 11300)
(194, 11578)
(194, 8938)
(196, 6958)
(198, 9392)
(201, 10017)
(202, 7365)
(206, 10642)
(207, 9273)
(209, 10659)
(210, 10061)
(210, 6822)
(212, 7978)
(213, 11980)
(214, 8658)
(214, 7095)
(217, 11751)
(218, 6330)
(218, 11767)
(219, 11718)
(219, 9080)
(219, 6030)
(221, 10220)
(222, 9326)
(222, 6790)
(226, 11474)
(226, 9280)
(228, 9645)
(228, 9941)
(228, 7255)
(229, 9052)
(230, 6338)
(232, 10634)
(234, 7001)
(234, 11091)
(235, 9562)
(236, 7067)
(238, 10225)
(239, 7626)
(240, 6098)
(240, 10957)
(241, 7049)
(242, 11230)
(244, 6375)
(244, 10681)
(247, 7148)
(249, 11365)
(252, 11037)
(252, 7813)
(256, 8898)
(256, 10573)
(259, 6015)
(260, 11925)
(261, 7903)
(261, 6807)
(262, 8313)
(262, 6375)
(266, 11702)
(267, 9091)
(271, 11161)
(271, 11113)
(273, 11075)
(273, 10079)
(276, 9528)
(276, 11575)
(278, 11801)
(278, 8011)
(280, 8871)
(281, 10340)
(281, 6770)
(284, 6109)
(285, 9775)
(286, 11179)
(286, 6872)
(287, 8474)
(288, 9574)
(289, 8996)
(290, 6097)
(290, 8282)
(291, 9620)
(295, 9088)
(295, 8575)
(295, 9768)
(297, 6232)
(298, 10292)
(299, 10843)
(299, 10567)
(299, 11749)
(300, 11904)
(300, 10106)
(300, 7253)
(302, 7650)
(302, 6833)
(302, 9856)
(303, 10267)
(305, 9229)
(305, 7983)
(306, 6758)
(308, 11363)
(308, 8613)
(309, 9688)
(309, 11170)
(310, 7455)
(310, 11703)
(310, 8220)
(312, 10878)
(312, 8450)
(313, 10638)
(315, 10391)
(315, 6328)
(315, 7682)
(316, 9020)
(317, 9340)
(318, 11167)
(319, 9285)
(320, 8746)
(321, 6546)
(321, 9506)
(321, 7235)
(322, 10032)
(322, 8878)
(323, 10612)
(323, 6968)
(323, 10983)
(324, 10814)
(326, 11449)
(326, 11864)
(326, 9193)
(327, 6714)
(328, 10601)
(331, 9474)
(332, 9875)
(333, 11395)
(333, 10836)
(335, 7528)
(335, 9781)
(335, 9180)
(336, 10234)
(337, 11155)
(337, 11921)
(337, 9804)
(340, 9226)
(341, 7059)
(342, 8918)
(342, 11584)
(342, 7975)
(343, 7580)
(345, 8005)
(345, 9461)
(347, 8682)
(348, 11838)
(350, 6601)
(351, 8765)
(352, 11123)
(352, 10652)
(353, 6533)
(356, 11785)
(359, 6673)
(362, 9760)
(364, 10787)
(365, 10639)
(366, 11674)
(367, 8321)
(367, 7960)
(368, 7972)
(368, 7006)
(368, 8625)
(369, 11157)
(370, 7712)
(373, 8322)
(374, 11973)
(375, 8579)
(377, 6655)
(377, 9136)
(378, 6614)
(380, 10112)
(380, 6634)
(381, 11613)
(382, 7540)
(382, 11229)
(382, 11725)
(382, 9153)
(383, 6686)
(385, 10522)
(385, 10399)
(385, 8348)
(386, 6140)
(387, 11633)
(390, 8594)
(393, 10198)
(394, 9540)
(394, 7665)
(397, 8386)
(398, 11508)
(399, 7397)
(400, 7044)
(400, 9571)
(400, 10364)
(401, 7834)
(402, 8161)
(403, 10538)
(405, 8678)
(406, 8284)
(407, 8555)
(408, 7119)
(409, 6509)
(409, 6953)
(410, 10417)
(411, 7837)
(412, 10935)
(417, 11624)
(417, 8456)
(417, 10826)
(418, 11525)
(419, 10278)
(419, 9641)
(419, 10224)
(421, 7560)
(422, 8448)
(424, 7422)
(425, 9779)
(425, 7637)
(425, 10806)
(427, 7281)
(428, 10196)
(429, 7394)
(431, 8556)
(432, 8519)
